Intent,Slot,Response
greeting,,"Hello, this is your subway assistant. What sandwich would you like to order today?"
select,sandwich,Ok. I have selected the <ref> sandwich for you. What size would you like
select,size,Ok. I have selected <ref> sandwich for you. What bread would like to have in your sandwich?
select,bread,Ok. I have selected <ref> for you. What cheese would you like on your sandwich
select,cheese,I have selected <ref> to go on top of your sandwich. What veggies would you you like to top that with?
select,veggies,I have selected <ref> veggies for your sandwich. What sauces would you like to drizzle on your sandwich?
select,sauce,I have selected <ref> for your sandwich. What seasoning would you like with that?
select,seasonings,Ok. I have selected <ref> for you. Would you like any add-ons?
select,addons,"Ok, I have selected <ref> for you. Would you like me to place the order?"
agree,,"Ok, I have placed the order for you. We can move on to checking out."
deselect,sandwich,"Ok, I have removed <ref> sandwich for you. What sandwich would you like to have?"
deselect,size,Ok. What size of sandwich would you like to have?
deselect,bread,"Ok, What bread would you like to have?"
deselect,cheese,"Ok, I have removed <ref> from your order, what cheese would you like?"
deselect,veggies,"Ok, I have removed <ref> from your order, would you like any other veggies in your sandwich?"
deselect,sauce,"Ok, I have removed <ref> from your order, would you like any other sauce in your sandwich?"
deselect,seasonings,"Ok, I have removed <ref> from your order, would you like any other seasoning in your sandwich?"
deselect,addons,"Ok, I have removed <ref> from your order, would you like any other addon with your sandwich?"
